TRAINING PASS # 9
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0372192 0.944807 0.0210092 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0126424 0.790076 0.219377 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0244879 0.938687 0.0416574 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0188568 0.916986 0.0732054 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0285206 0.944331 0.0313513 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0606819 0.936167 0.0109962 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.020857 0.928232 0.0579516 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00437949 0.0492205 0.951354 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00467757 0.0575802 0.941172 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00439232 0.0494782 0.950994 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00437169 0.0490656 0.951572 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00437303 0.0490907 0.951535 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00446717 0.0512113 0.948725 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00447216 0.0513372 0.948566 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00452549 0.0527609 0.946804 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00439107 0.0494516 0.95103 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00446189 0.0510642 0.948902 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 199
PREDICTED RESULTS: 0.970733 0.0360321 4.601e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.955216 0.0561634 6.52668e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969006 0.0382861 4.81924e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966534 0.04151 5.12919e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966597 0.0414291 5.12137e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.966671 0.0413341 5.11201e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970487 0.0363539 4.63215e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968403 0.0390745 4.89497e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970887 0.0358318 4.58154e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969685 0.0374036 4.73337e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00688897 0.259171 0.737797 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0130706 0.845327 0.157592 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0273692 0.949268 0.0270844 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0373107 0.949796 0.0168939 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0130059 0.840976 0.1614 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0252598 0.947219 0.0313049 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0194911 0.933363 0.0531658 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0288612 0.950387 0.0246605 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0594696 0.94095 0.00920883 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0214051 0.940257 0.0432614 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0042142 0.0469297 0.953361 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00451356 0.0551085 0.943058 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0042263 0.0471591 0.953024 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00420665 0.0467881 0.953569 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00420843 0.04682 0.953521 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00430008 0.0487858 0.9508 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00429978 0.0487781 0.95081 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00435819 0.0502727 0.948885 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00422746 0.047182 0.952991 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00429712 0.0487007 0.950903 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 209
PREDICTED RESULTS: 0.971531 0.034526 4.06817e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.956985 0.0533956 5.67552e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969918 0.0366294 4.24984e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.96762 0.0396223 4.50662e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967682 0.0395415 4.49973e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967737 0.0394709 4.49347e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971304 0.0348228 4.09382e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969356 0.0373627 4.31277e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971675 0.0343381 4.05189e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970554 0.0358022 4.17815e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00683188 0.272696 0.718438 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0134802 0.877524 0.118434 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0277478 0.954432 0.0216917 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0376762 0.9541 0.0136972 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0133542 0.872432 0.12316 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0262013 0.953413 0.0239993 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0202158 0.943943 0.0399049 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0293748 0.955268 0.0196571 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0590045 0.945249 0.00771282 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0220613 0.948458 0.0331796 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00408097 0.0447649 0.955375 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00437711 0.0521479 0.945521 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00409254 0.0449589 0.955067 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0040737 0.0446442 0.955568 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00407584 0.0446785 0.955512 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00416458 0.0463755 0.952986 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00415982 0.0462724 0.953131 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00422244 0.0477125 0.951152 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00409598 0.0450198 0.954973 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00416475 0.0463667 0.952989 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 219
PREDICTED RESULTS: 0.972132 0.0307394 4.01942e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.957505 0.0480918 5.63132e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970536 0.0326396 4.19891e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968211 0.0354049 4.45835e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968262 0.0353447 4.45279e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968344 0.0352484 4.44352e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971901 0.0310138 4.0454e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969969 0.0333143 4.26227e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972271 0.0305741 4.00377e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971158 0.0319005 4.12894e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00707732 0.381393 0.623925 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0138866 0.912731 0.0845251 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0273567 0.955252 0.0199427 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0364444 0.953678 0.0131834 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0136987 0.908664 0.0887778 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0259898 0.954788 0.0217035 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.02025 0.949611 0.0339432 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0289227 0.955653 0.0182135 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.05527 0.944574 0.00782812 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0219823 0.952117 0.0290223 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00393625 0.0423434 0.958067 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00423093 0.0507134 0.947594 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00394706 0.0425475 0.957766 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00392972 0.0422215 0.958247 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00393152 0.042254 0.958198 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00401589 0.0440684 0.95568 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00401167 0.0439655 0.955815 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00407472 0.0456038 0.953706 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00395027 0.0426113 0.957674 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00401736 0.0440915 0.955641 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 229
PREDICTED RESULTS: 0.97229 0.0240357 4.77445e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.956169 0.0389939 6.89727e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970588 0.0256173 5.00384e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967973 0.0280462 5.35332e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.967997 0.0280242 5.35024e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.968168 0.027867 5.3273e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972029 0.0242785 4.80975e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.969959 0.0262028 5.08821e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972429 0.0239071 4.75573e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971233 0.0250195 4.91695e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00409649 0.0492589 0.9506 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00490032 0.112957 0.889908 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.012355 0.909052 0.099115 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0206868 0.944846 0.0337598 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00510484 0.136615 0.868061 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0110939 0.8797 0.137574 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00761723 0.590339 0.453395 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0127746 0.916189 0.0896848 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0393447 0.939496 0.0136286 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00869541 0.734961 0.305351 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00373924 0.0367984 0.96434 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00377702 0.0376325 0.96327 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00374199 0.0368509 0.964268 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0037382 0.0367781 0.964368 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00373847 0.0367827 0.964361 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00375118 0.0370456 0.964014 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00375263 0.0370769 0.963973 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00376032 0.0372453 0.963757 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00374164 0.0368436 0.964278 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00375372 0.0370951 0.963946 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 239
PREDICTED RESULTS: 0.974083 0.0263426 3.89488e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.959062 0.0426932 5.57789e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97251 0.0280614 4.07564e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970077 0.030716 4.35286e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970095 0.0306959 4.35091e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.970259 0.0305181 4.33209e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97384 0.0266078 3.92286e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971925 0.028701 4.14257e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97421 0.0262041 3.88028e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.973104 0.0274137 4.00747e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0090846 0.777576 0.244722 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0167841 0.948647 0.0398074 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0294208 0.955268 0.0155933 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0366071 0.952493 0.011645 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0162995 0.946899 0.0425181 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0284279 0.955358 0.0164078 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0230126 0.955153 0.022666 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0308861 0.955126 0.0145098 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0505504 0.944279 0.00791807 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0246032 0.955446 0.0203996 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00375487 0.0377307 0.961929 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00415397 0.0519982 0.945363 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00376617 0.037966 0.961602 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00374833 0.0375972 0.962116 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00374979 0.0376258 0.962076 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00384827 0.0400181 0.958952 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00384308 0.0398719 0.959133 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00392957 0.0425464 0.955911 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00377006 0.0380513 0.961486 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00385185 0.0401065 0.958835 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 249
PREDICTED RESULTS: 0.975043 0.0271975 3.47147e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.961006 0.0436684 4.89957e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.973574 0.0289283 3.62488e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97132 0.0315803 3.85826e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971341 0.0315543 3.85611e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971479 0.0313939 3.84177e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974819 0.027461 3.49491e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97303 0.0295689 3.68137e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975162 0.0270565 3.45895e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974131 0.0282723 3.56669e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00772304 0.590963 0.416054 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0153916 0.946705 0.0431753 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0286275 0.960003 0.0139242 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0362925 0.957638 0.0100782 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0150189 0.944258 0.0461584 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0276742 0.960009 0.0146624 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0219418 0.958946 0.0212426 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0301125 0.959962 0.0128955 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0504938 0.950139 0.0067873 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0235772 0.959593 0.0188443 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00369052 0.0365935 0.962887 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00395335 0.042828 0.954349 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00369975 0.0367321 0.962655 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00368585 0.0365244 0.963003 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00368687 0.0365387 0.962978 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00375683 0.0377391 0.961101 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00375492 0.0377012 0.961156 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00381507 0.0389835 0.959331 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00370221 0.0367712 0.962591 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00376377 0.0378679 0.960905 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 259
PREDICTED RESULTS: 0.975481 0.0231191 3.71684e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.961683 0.0370731 5.24571e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974046 0.0245758 3.88026e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971837 0.0268136 4.12948e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971857 0.0267929 4.12733e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.971993 0.0266568 4.11193e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975263 0.023341 3.74183e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.973513 0.0251161 3.94058e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975598 0.0230009 3.70356e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974591 0.0240237 3.8183e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00865668 0.809608 0.215413 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0159302 0.952066 0.0361272 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0277378 0.955885 0.0147794 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0342903 0.952932 0.0111894 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0154444 0.950712 0.0385613 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0270783 0.955989 0.0153073 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0219353 0.956397 0.0209398 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0290654 0.955669 0.0138067 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0465546 0.944869 0.00782419 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0233607 0.956453 0.0190189 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00357292 0.0339575 0.965823 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00387101 0.043562 0.954431 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00358201 0.0341334 0.965573 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00356846 0.0338726 0.965944 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00356934 0.0338886 0.965921 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00364177 0.0355026 0.963763 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00363919 0.0354361 0.963847 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00370829 0.0373865 0.961448 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00358491 0.0341925 0.965492 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00365076 0.0357255 0.963475 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 269
PREDICTED RESULTS: 0.976189 0.0177708 4.97787e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.961812 0.0290124 7.20135e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974722 0.0189222 5.2116e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972405 0.0207376 5.57725e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972411 0.0207323 5.57641e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.972588 0.0205952 5.54846e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975959 0.0179514 5.01467e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.974167 0.0193577 5.29957e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.976303 0.0176807 4.95953e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975271 0.0184916 5.12418e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00450717 0.126069 0.886903 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00766631 0.806867 0.262239 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.016324 0.944919 0.0413493 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0237085 0.943096 0.024392 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00778364 0.816326 0.24984 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0156096 0.944457 0.0443919 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0116152 0.934538 0.0758002 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0172245 0.945345 0.0380191 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0368761 0.933009 0.0141142 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0126385 0.939338 0.0638978 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00346018 0.0298284 0.970987 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00351679 0.0315921 0.969104 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00346323 0.0299086 0.970896 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00345911 0.0298003 0.971019 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00345933 0.0298053 0.971013 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00347556 0.0302629 0.970509 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0034768 0.0302992 0.970469 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00349053 0.0307189 0.970019 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00346329 0.0299106 0.970894 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00348035 0.0304002 0.970358 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 279
PREDICTED RESULTS: 0.977464 0.0169004 5.13045e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.96222 0.0286878 7.67948e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975963 0.0180683 5.39048e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.97346 0.0200098 5.81904e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.973435 0.0200286 5.82342e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.973701 0.0198244 5.77804e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.977215 0.0170949 5.17393e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.975371 0.0185282 5.49233e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.977573 0.0168157 5.11156e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.976508 0.0176448 5.29622e-005 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.00466511 0.17327 0.84989 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00782477 0.84874 0.217971 
